username,timestamp,content,retweets,likes,replies,mentions,hashtags,content_length,total_engagement
user_381,2025-08-31 15:19:06+00:00,This is a sample tweet about Indian stock market #sensex,708,2495,426,user_58,#intraday,56,3629
user_72,2025-08-31 15:18:54+00:00,This is a sample tweet about Indian stock market #sensex,323,691,155,,"#sensex, #intraday, #nifty50",56,1169
user_332,2025-08-31 15:18:46+00:00,This is a sample tweet about Indian stock market #banknifty,27,1328,116,user_443,#sensex,59,1471
user_297,2025-08-31 15:18:40+00:00,This is a sample tweet about Indian stock market #intraday,551,1975,245,user_97,#nifty50,58,2771
user_266,2025-08-31 15:18:36+00:00,This is a sample tweet about Indian stock market #banknifty,702,1793,262,user_384,#sensex,59,2757
user_248,2025-08-31 15:18:02+00:00,This is a sample tweet about Indian stock market #sensex,58,1165,229,,"#nifty50, #banknifty, #sensex",56,1452
user_112,2025-08-31 15:17:26+00:00,This is a sample tweet about Indian stock market #banknifty,82,1852,255,,"#intraday, #sensex",59,2189
user_468,2025-08-31 15:17:09+00:00,This is a sample tweet about Indian stock market #sensex,3,1737,353,,#intraday,56,2093
user_378,2025-08-31 15:16:59+00:00,This is a sample tweet about Indian stock market #sensex,327,33,284,,"#banknifty, #nifty50",56,644
user_354,2025-08-31 15:16:11+00:00,This is a sample tweet about Indian stock market #sensex,513,1882,427,"user_101, user_154",#nifty50,56,2822
user_190,2025-08-31 15:15:57+00:00,This is a sample tweet about Indian stock market #banknifty,377,2254,489,,"#intraday, #banknifty",59,3120
user_70,2025-08-31 15:15:55+00:00,This is a sample tweet about Indian stock market #sensex,79,1791,305,"user_283, user_224, user_309",#banknifty,56,2175
user_254,2025-08-31 15:15:50+00:00,This is a sample tweet about Indian stock market #nifty50,318,2916,11,user_132,"#banknifty, #sensex",57,3245
user_229,2025-08-31 15:14:04+00:00,This is a sample tweet about Indian stock market #intraday,43,2428,367,,#sensex,58,2838
user_244,2025-08-31 15:13:49+00:00,This is a sample tweet about Indian stock market #sensex,698,234,410,"user_97, user_15, user_381","#sensex, #intraday",56,1342
user_166,2025-08-31 15:13:02+00:00,This is a sample tweet about Indian stock market #intraday,642,2259,140,,#nifty50,58,3041
user_352,2025-08-31 15:11:35+00:00,This is a sample tweet about Indian stock market #nifty50,40,2531,436,user_440,"#intraday, #sensex, #nifty50",57,3007
user_47,2025-08-31 15:09:47+00:00,This is a sample tweet about Indian stock market #nifty50,595,1277,338,"user_357, user_452","#intraday, #banknifty",57,2210
user_435,2025-08-31 15:09:44+00:00,This is a sample tweet about Indian stock market #nifty50,338,7,243,"user_395, user_442","#nifty50, #banknifty, #intraday",57,588
user_318,2025-08-31 15:07:08+00:00,This is a sample tweet about Indian stock market #nifty50,176,2327,384,"user_213, user_181, user_382","#sensex, #nifty50, #intraday",57,2887
user_55,2025-08-31 15:06:52+00:00,This is a sample tweet about Indian stock market #intraday,475,1590,334,user_206,#intraday,58,2399
user_436,2025-08-31 15:05:21+00:00,This is a sample tweet about Indian stock market #sensex,963,2786,50,user_286,"#banknifty, #nifty50, #intraday",56,3799
user_414,2025-08-31 15:04:21+00:00,This is a sample tweet about Indian stock market #nifty50,508,1813,427,,#nifty50,57,2748
user_421,2025-08-31 15:03:19+00:00,This is a sample tweet about Indian stock market #nifty50,822,2479,48,"user_129, user_397, user_263","#intraday, #banknifty",57,3349
user_89,2025-08-31 15:03:17+00:00,This is a sample tweet about Indian stock market #intraday,360,1379,277,"user_411, user_32, user_216",#intraday,58,2016
user_171,2025-08-31 15:02:57+00:00,This is a sample tweet about Indian stock market #sensex,413,2591,463,"user_4, user_309","#nifty50, #banknifty",56,3467
user_98,2025-08-31 15:01:33+00:00,This is a sample tweet about Indian stock market #nifty50,244,2854,313,,"#intraday, #nifty50",57,3411
user_202,2025-08-31 15:00:51+00:00,This is a sample tweet about Indian stock market #intraday,907,137,309,"user_305, user_356, user_362","#nifty50, #intraday, #sensex",58,1353
user_184,2025-08-31 15:00:31+00:00,This is a sample tweet about Indian stock market #nifty50,65,2639,338,"user_367, user_182","#sensex, #intraday, #banknifty",57,3042
user_332,2025-08-31 14:58:47+00:00,This is a sample tweet about Indian stock market #intraday,930,1761,84,"user_354, user_416, user_144",#banknifty,58,2775
user_129,2025-08-31 14:58:31+00:00,This is a sample tweet about Indian stock market #intraday,347,1242,263,"user_348, user_56","#nifty50, #banknifty, #sensex",58,1852
user_476,2025-08-31 14:58:03+00:00,This is a sample tweet about Indian stock market #intraday,351,2316,74,"user_166, user_484, user_459","#intraday, #banknifty, #nifty50",58,2741
user_238,2025-08-31 14:55:30+00:00,This is a sample tweet about Indian stock market #banknifty,420,2049,498,user_84,"#nifty50, #banknifty, #intraday",59,2967
user_237,2025-08-31 14:51:39+00:00,This is a sample tweet about Indian stock market #intraday,259,1552,21,,"#intraday, #sensex",58,1832
user_160,2025-08-31 14:51:28+00:00,This is a sample tweet about Indian stock market #banknifty,49,814,246,,"#nifty50, #banknifty, #intraday",59,1109
user_405,2025-08-31 14:50:28+00:00,This is a sample tweet about Indian stock market #nifty50,791,1456,175,"user_364, user_277, user_189","#sensex, #nifty50, #intraday",57,2422
user_407,2025-08-31 14:50:17+00:00,This is a sample tweet about Indian stock market #intraday,352,211,302,"user_368, user_473","#banknifty, #sensex, #intraday",58,865
user_23,2025-08-31 14:49:41+00:00,This is a sample tweet about Indian stock market #nifty50,84,2679,34,"user_341, user_202, user_275","#banknifty, #intraday",57,2797
user_482,2025-08-31 14:46:38+00:00,This is a sample tweet about Indian stock market #sensex,579,542,65,user_279,#banknifty,56,1186
user_12,2025-08-31 14:46:34+00:00,This is a sample tweet about Indian stock market #sensex,201,1759,383,,#intraday,56,2343
user_265,2025-08-31 14:46:31+00:00,This is a sample tweet about Indian stock market #nifty50,90,611,408,,#nifty50,57,1109
user_492,2025-08-31 14:45:15+00:00,This is a sample tweet about Indian stock market #banknifty,823,2493,362,user_266,"#intraday, #sensex, #nifty50",59,3678
user_91,2025-08-31 14:44:40+00:00,This is a sample tweet about Indian stock market #sensex,868,2164,359,"user_379, user_429","#nifty50, #intraday",56,3391
user_289,2025-08-31 14:44:37+00:00,This is a sample tweet about Indian stock market #nifty50,271,2937,238,user_331,"#sensex, #intraday, #banknifty",57,3446
user_285,2025-08-31 14:44:35+00:00,This is a sample tweet about Indian stock market #nifty50,561,1151,400,"user_334, user_356, user_306","#intraday, #nifty50, #sensex",57,2112
user_94,2025-08-31 14:44:07+00:00,This is a sample tweet about Indian stock market #nifty50,63,2649,206,,#intraday,57,2918
user_340,2025-08-31 14:43:38+00:00,This is a sample tweet about Indian stock market #banknifty,309,2919,350,user_309,"#sensex, #banknifty, #nifty50",59,3578
user_262,2025-08-31 14:43:15+00:00,This is a sample tweet about Indian stock market #banknifty,662,1532,1,,#intraday,59,2195
user_187,2025-08-31 14:43:11+00:00,This is a sample tweet about Indian stock market #intraday,279,1295,122,"user_181, user_207","#nifty50, #sensex",58,1696
user_329,2025-08-31 14:43:05+00:00,This is a sample tweet about Indian stock market #banknifty,286,2723,301,"user_210, user_217, user_9","#sensex, #nifty50",59,3310
user_54,2025-08-31 14:42:22+00:00,This is a sample tweet about Indian stock market #nifty50,190,2345,336,,"#sensex, #intraday, #banknifty",57,2871
user_201,2025-08-31 14:41:21+00:00,This is a sample tweet about Indian stock market #banknifty,792,1737,474,,"#banknifty, #sensex",59,3003
user_497,2025-08-31 14:41:16+00:00,This is a sample tweet about Indian stock market #banknifty,968,1928,399,"user_351, user_210, user_386",#nifty50,59,3295
user_492,2025-08-31 14:40:58+00:00,This is a sample tweet about Indian stock market #sensex,384,2749,50,"user_332, user_33","#nifty50, #banknifty",56,3183
user_5,2025-08-31 14:40:41+00:00,This is a sample tweet about Indian stock market #sensex,35,2193,247,"user_421, user_73","#intraday, #banknifty, #sensex",56,2475
user_1,2025-08-31 14:39:56+00:00,This is a sample tweet about Indian stock market #sensex,96,992,160,,"#nifty50, #banknifty, #sensex",56,1248
user_262,2025-08-31 14:38:52+00:00,This is a sample tweet about Indian stock market #nifty50,751,2243,284,"user_490, user_426, user_263",#sensex,57,3278
user_121,2025-08-31 14:38:42+00:00,This is a sample tweet about Indian stock market #sensex,667,1069,370,"user_474, user_309","#nifty50, #banknifty, #sensex",56,2106
user_459,2025-08-31 14:38:35+00:00,This is a sample tweet about Indian stock market #banknifty,437,2679,63,user_61,"#sensex, #intraday",59,3179
user_279,2025-08-31 14:38:08+00:00,This is a sample tweet about Indian stock market #nifty50,599,686,156,"user_202, user_278, user_425","#nifty50, #intraday, #sensex",57,1441
user_50,2025-08-31 14:38:01+00:00,This is a sample tweet about Indian stock market #sensex,149,557,440,,"#intraday, #sensex",56,1146
user_427,2025-08-31 14:37:43+00:00,This is a sample tweet about Indian stock market #nifty50,249,123,471,user_309,"#nifty50, #intraday, #banknifty",57,843
user_223,2025-08-31 14:37:23+00:00,This is a sample tweet about Indian stock market #banknifty,927,2251,310,user_439,"#intraday, #sensex",59,3488
user_187,2025-08-31 14:34:31+00:00,This is a sample tweet about Indian stock market #sensex,742,11,368,user_83,"#banknifty, #sensex, #intraday",56,1121
user_280,2025-08-31 14:33:47+00:00,This is a sample tweet about Indian stock market #banknifty,464,2985,210,"user_477, user_474","#sensex, #intraday",59,3659
user_46,2025-08-31 14:33:19+00:00,This is a sample tweet about Indian stock market #nifty50,411,2255,83,user_118,"#nifty50, #intraday",57,2749
user_396,2025-08-31 14:32:11+00:00,This is a sample tweet about Indian stock market #banknifty,132,1024,267,"user_122, user_140","#nifty50, #sensex",59,1423
user_410,2025-08-31 14:30:53+00:00,This is a sample tweet about Indian stock market #intraday,935,19,186,,#banknifty,58,1140
user_419,2025-08-31 14:30:16+00:00,This is a sample tweet about Indian stock market #sensex,758,851,193,"user_257, user_218, user_212","#nifty50, #banknifty",56,1802
user_53,2025-08-31 14:30:13+00:00,This is a sample tweet about Indian stock market #sensex,235,1153,290,"user_123, user_350, user_300","#intraday, #sensex, #nifty50",56,1678
user_499,2025-08-31 14:30:08+00:00,This is a sample tweet about Indian stock market #intraday,747,46,464,,#nifty50,58,1257
user_199,2025-08-31 14:29:11+00:00,This is a sample tweet about Indian stock market #sensex,517,1565,58,,#banknifty,56,2140
user_267,2025-08-31 14:27:56+00:00,This is a sample tweet about Indian stock market #sensex,453,1899,481,,"#sensex, #nifty50, #banknifty",56,2833
user_442,2025-08-31 14:27:42+00:00,This is a sample tweet about Indian stock market #nifty50,442,2980,486,"user_370, user_217, user_129","#banknifty, #sensex, #intraday",57,3908
user_369,2025-08-31 14:24:51+00:00,This is a sample tweet about Indian stock market #nifty50,626,365,379,"user_58, user_187","#nifty50, #intraday, #sensex",57,1370
user_63,2025-08-31 14:24:42+00:00,This is a sample tweet about Indian stock market #sensex,40,1429,246,"user_122, user_116, user_243",#intraday,56,1715
user_240,2025-08-31 14:24:41+00:00,This is a sample tweet about Indian stock market #banknifty,34,2402,324,"user_88, user_342",#nifty50,59,2760
user_469,2025-08-31 14:24:20+00:00,This is a sample tweet about Indian stock market #nifty50,402,1230,441,,"#intraday, #banknifty, #sensex",57,2073
user_73,2025-08-31 14:23:56+00:00,This is a sample tweet about Indian stock market #nifty50,697,1217,174,"user_284, user_481, user_225","#intraday, #sensex, #nifty50",57,2088
user_388,2025-08-31 14:23:39+00:00,This is a sample tweet about Indian stock market #banknifty,641,28,302,user_84,#nifty50,59,971
user_450,2025-08-31 14:23:21+00:00,This is a sample tweet about Indian stock market #nifty50,883,1474,454,"user_177, user_370","#banknifty, #intraday, #sensex",57,2811
user_51,2025-08-31 14:22:44+00:00,This is a sample tweet about Indian stock market #nifty50,532,2241,224,user_305,#banknifty,57,2997
user_251,2025-08-31 14:19:34+00:00,This is a sample tweet about Indian stock market #intraday,335,973,305,"user_445, user_39",#sensex,58,1613
user_202,2025-08-31 14:19:21+00:00,This is a sample tweet about Indian stock market #intraday,478,2183,89,"user_258, user_240, user_162","#banknifty, #sensex, #intraday",58,2750
user_71,2025-08-31 14:19:14+00:00,This is a sample tweet about Indian stock market #banknifty,374,982,445,,"#intraday, #banknifty",59,1801
user_138,2025-08-31 14:19:00+00:00,This is a sample tweet about Indian stock market #intraday,806,1608,184,"user_480, user_83, user_6","#nifty50, #sensex",58,2598
user_234,2025-08-31 14:18:55+00:00,This is a sample tweet about Indian stock market #sensex,949,2226,163,user_238,"#intraday, #sensex, #nifty50",56,3338
user_371,2025-08-31 14:18:43+00:00,This is a sample tweet about Indian stock market #sensex,409,821,14,"user_67, user_306","#intraday, #nifty50, #sensex",56,1244
user_427,2025-08-31 14:17:17+00:00,This is a sample tweet about Indian stock market #banknifty,962,49,84,,"#sensex, #intraday, #nifty50",59,1095
user_6,2025-08-31 14:15:38+00:00,This is a sample tweet about Indian stock market #banknifty,262,1565,44,user_439,"#intraday, #nifty50",59,1871
user_333,2025-08-31 14:15:19+00:00,This is a sample tweet about Indian stock market #nifty50,287,511,51,,"#banknifty, #nifty50",57,849
user_4,2025-08-31 14:13:50+00:00,This is a sample tweet about Indian stock market #nifty50,51,2332,264,user_89,"#nifty50, #sensex",57,2647
user_88,2025-08-31 14:13:41+00:00,This is a sample tweet about Indian stock market #nifty50,234,1800,429,"user_470, user_463, user_398",#nifty50,57,2463
user_316,2025-08-31 14:13:24+00:00,This is a sample tweet about Indian stock market #sensex,757,1674,121,,"#sensex, #banknifty, #nifty50",56,2552
user_327,2025-08-31 14:13:23+00:00,This is a sample tweet about Indian stock market #intraday,288,1027,105,,"#banknifty, #sensex",58,1420
user_312,2025-08-31 14:13:21+00:00,This is a sample tweet about Indian stock market #intraday,555,1246,266,user_73,"#nifty50, #sensex",58,2067
user_357,2025-08-31 14:12:30+00:00,This is a sample tweet about Indian stock market #intraday,852,2090,182,,"#banknifty, #sensex, #intraday",58,3124
user_8,2025-08-31 14:11:59+00:00,This is a sample tweet about Indian stock market #nifty50,810,1812,279,"user_427, user_255","#intraday, #sensex, #banknifty",57,2901
user_463,2025-08-31 14:08:24+00:00,This is a sample tweet about Indian stock market #banknifty,613,2525,483,user_488,#intraday,59,3621
user_403,2025-08-31 14:08:00+00:00,This is a sample tweet about Indian stock market #nifty50,452,1213,482,"user_385, user_309","#banknifty, #sensex, #intraday",57,2147
user_342,2025-08-31 14:07:46+00:00,This is a sample tweet about Indian stock market #sensex,938,1745,459,user_375,"#nifty50, #banknifty",56,3142
user_14,2025-08-31 14:07:10+00:00,This is a sample tweet about Indian stock market #banknifty,569,2358,476,"user_105, user_111",#sensex,59,3403
user_428,2025-08-31 14:06:59+00:00,This is a sample tweet about Indian stock market #banknifty,37,1721,436,,#banknifty,59,2194
user_108,2025-08-31 14:06:38+00:00,This is a sample tweet about Indian stock market #sensex,698,604,84,"user_191, user_398","#intraday, #sensex, #banknifty",56,1386
user_326,2025-08-31 14:06:37+00:00,This is a sample tweet about Indian stock market #nifty50,757,2344,363,,"#sensex, #banknifty",57,3464
user_75,2025-08-31 14:06:21+00:00,This is a sample tweet about Indian stock market #nifty50,58,436,138,,"#banknifty, #nifty50",57,632
user_11,2025-08-31 14:05:38+00:00,This is a sample tweet about Indian stock market #sensex,83,104,206,,#sensex,56,393
user_2,2025-08-31 14:05:08+00:00,This is a sample tweet about Indian stock market #banknifty,839,2554,305,"user_469, user_468",#sensex,59,3698
user_388,2025-08-31 14:04:21+00:00,This is a sample tweet about Indian stock market #nifty50,613,1415,361,user_73,#banknifty,57,2389
user_60,2025-08-31 14:03:39+00:00,This is a sample tweet about Indian stock market #intraday,760,1365,57,"user_321, user_54","#intraday, #banknifty",58,2182
user_332,2025-08-31 14:03:15+00:00,This is a sample tweet about Indian stock market #banknifty,530,1843,461,,"#sensex, #banknifty, #intraday",59,2834
user_402,2025-08-31 14:01:19+00:00,This is a sample tweet about Indian stock market #nifty50,794,98,423,,"#banknifty, #sensex, #intraday",57,1315
user_462,2025-08-31 14:00:37+00:00,This is a sample tweet about Indian stock market #banknifty,459,1346,321,,#nifty50,59,2126
user_197,2025-08-31 14:00:35+00:00,This is a sample tweet about Indian stock market #sensex,458,2898,35,"user_112, user_322",#nifty50,56,3391
user_437,2025-08-31 13:58:49+00:00,This is a sample tweet about Indian stock market #intraday,717,458,222,"user_49, user_262","#intraday, #banknifty, #nifty50",58,1397
user_102,2025-08-31 13:58:29+00:00,This is a sample tweet about Indian stock market #intraday,455,332,159,,"#banknifty, #sensex, #intraday",58,946
user_36,2025-08-31 13:58:22+00:00,This is a sample tweet about Indian stock market #banknifty,759,1331,120,,#nifty50,59,2210
user_129,2025-08-31 13:58:03+00:00,This is a sample tweet about Indian stock market #sensex,223,2104,80,"user_397, user_275",#banknifty,56,2407
user_30,2025-08-31 13:57:26+00:00,This is a sample tweet about Indian stock market #banknifty,304,1833,130,"user_418, user_133","#nifty50, #banknifty, #sensex",59,2267
user_220,2025-08-31 13:57:11+00:00,This is a sample tweet about Indian stock market #banknifty,671,1148,497,,#nifty50,59,2316
user_468,2025-08-31 13:56:24+00:00,This is a sample tweet about Indian stock market #banknifty,921,1708,285,"user_396, user_58, user_394","#sensex, #banknifty",59,2914
user_282,2025-08-31 13:56:04+00:00,This is a sample tweet about Indian stock market #banknifty,41,2007,156,"user_428, user_257",#nifty50,59,2204
user_222,2025-08-31 13:55:57+00:00,This is a sample tweet about Indian stock market #banknifty,731,967,94,"user_210, user_337, user_485","#banknifty, #intraday",59,1792
user_369,2025-08-31 13:55:42+00:00,This is a sample tweet about Indian stock market #nifty50,948,732,34,"user_276, user_112, user_482",#intraday,57,1714
user_56,2025-08-31 13:55:36+00:00,This is a sample tweet about Indian stock market #nifty50,599,1927,364,"user_72, user_172, user_88",#nifty50,57,2890
user_286,2025-08-31 13:55:02+00:00,This is a sample tweet about Indian stock market #sensex,571,2254,103,"user_463, user_411","#nifty50, #sensex",56,2928
user_424,2025-08-31 13:52:36+00:00,This is a sample tweet about Indian stock market #sensex,590,543,76,"user_263, user_162",#banknifty,56,1209
user_386,2025-08-31 13:52:32+00:00,This is a sample tweet about Indian stock market #nifty50,791,1687,121,,"#intraday, #nifty50, #banknifty",57,2599
user_431,2025-08-31 13:52:06+00:00,This is a sample tweet about Indian stock market #intraday,849,1632,27,,"#banknifty, #intraday",58,2508
user_218,2025-08-31 13:51:08+00:00,This is a sample tweet about Indian stock market #nifty50,950,1450,384,"user_330, user_412",#intraday,57,2784
user_262,2025-08-31 13:49:54+00:00,This is a sample tweet about Indian stock market #nifty50,15,1206,342,user_378,#sensex,57,1563
user_363,2025-08-31 13:47:08+00:00,This is a sample tweet about Indian stock market #intraday,303,790,161,"user_191, user_101, user_160",#nifty50,58,1254
user_204,2025-08-31 13:47:01+00:00,This is a sample tweet about Indian stock market #sensex,713,1926,39,,"#intraday, #banknifty, #nifty50",56,2678
user_447,2025-08-31 13:45:17+00:00,This is a sample tweet about Indian stock market #nifty50,498,1826,365,"user_222, user_316",#banknifty,57,2689
user_204,2025-08-31 13:44:23+00:00,This is a sample tweet about Indian stock market #nifty50,292,1134,143,user_221,"#intraday, #nifty50, #sensex",57,1569
user_230,2025-08-31 13:42:28+00:00,This is a sample tweet about Indian stock market #intraday,189,2027,89,"user_123, user_63",#sensex,58,2305
user_280,2025-08-31 13:41:27+00:00,This is a sample tweet about Indian stock market #banknifty,47,1457,290,user_162,"#sensex, #nifty50, #intraday",59,1794
user_178,2025-08-31 13:41:27+00:00,This is a sample tweet about Indian stock market #intraday,479,635,127,user_212,#sensex,58,1241
user_348,2025-08-31 13:41:23+00:00,This is a sample tweet about Indian stock market #sensex,726,1804,376,user_45,"#sensex, #nifty50",56,2906
user_484,2025-08-31 13:40:53+00:00,This is a sample tweet about Indian stock market #intraday,818,1658,72,,"#sensex, #intraday, #banknifty",58,2548
user_418,2025-08-31 13:40:52+00:00,This is a sample tweet about Indian stock market #sensex,541,2604,194,,#nifty50,56,3339
user_165,2025-08-31 13:40:08+00:00,This is a sample tweet about Indian stock market #sensex,508,1987,255,user_494,#sensex,56,2750
user_400,2025-08-31 13:40:04+00:00,This is a sample tweet about Indian stock market #nifty50,133,2745,231,,#intraday,57,3109
user_287,2025-08-31 13:39:50+00:00,This is a sample tweet about Indian stock market #intraday,954,115,93,user_384,#sensex,58,1162
user_188,2025-08-31 13:39:42+00:00,This is a sample tweet about Indian stock market #banknifty,577,228,27,,#nifty50,59,832
user_307,2025-08-31 13:39:05+00:00,This is a sample tweet about Indian stock market #sensex,661,849,426,,"#nifty50, #sensex",56,1936
user_236,2025-08-31 13:38:43+00:00,This is a sample tweet about Indian stock market #sensex,914,2295,257,,"#intraday, #nifty50",56,3466
user_301,2025-08-31 13:38:20+00:00,This is a sample tweet about Indian stock market #sensex,560,1939,409,"user_370, user_336, user_283",#intraday,56,2908
user_124,2025-08-31 13:37:48+00:00,This is a sample tweet about Indian stock market #sensex,105,1829,184,user_316,#nifty50,56,2118
user_397,2025-08-31 13:37:24+00:00,This is a sample tweet about Indian stock market #sensex,645,1002,338,"user_135, user_237",#nifty50,56,1985
user_154,2025-08-31 13:37:24+00:00,This is a sample tweet about Indian stock market #banknifty,663,2295,343,"user_217, user_337","#intraday, #sensex, #nifty50",59,3301
user_132,2025-08-31 13:37:05+00:00,This is a sample tweet about Indian stock market #nifty50,633,2632,166,,"#intraday, #banknifty",57,3431
user_193,2025-08-31 13:35:49+00:00,This is a sample tweet about Indian stock market #banknifty,477,701,82,user_169,#nifty50,59,1260
user_18,2025-08-31 13:35:46+00:00,This is a sample tweet about Indian stock market #banknifty,374,1570,304,,"#banknifty, #nifty50, #sensex",59,2248
user_92,2025-08-31 13:35:22+00:00,This is a sample tweet about Indian stock market #sensex,799,1116,29,"user_97, user_41","#banknifty, #intraday",56,1944
user_199,2025-08-31 13:35:17+00:00,This is a sample tweet about Indian stock market #banknifty,33,653,12,"user_254, user_242, user_238","#intraday, #nifty50, #sensex",59,698
user_242,2025-08-31 13:33:43+00:00,This is a sample tweet about Indian stock market #banknifty,214,1598,216,"user_202, user_389, user_331",#banknifty,59,2028
user_134,2025-08-31 13:31:38+00:00,This is a sample tweet about Indian stock market #nifty50,907,1891,486,"user_196, user_468, user_26","#intraday, #nifty50",57,3284
user_304,2025-08-31 13:27:35+00:00,This is a sample tweet about Indian stock market #nifty50,319,2482,330,,"#intraday, #banknifty, #sensex",57,3131
user_179,2025-08-31 13:27:27+00:00,This is a sample tweet about Indian stock market #banknifty,990,1520,77,user_332,"#banknifty, #sensex, #intraday",59,2587
user_111,2025-08-31 13:27:05+00:00,This is a sample tweet about Indian stock market #nifty50,283,2589,24,user_122,"#intraday, #nifty50",57,2896
user_2,2025-08-31 13:25:44+00:00,This is a sample tweet about Indian stock market #nifty50,447,1999,422,,"#nifty50, #sensex",57,2868
user_5,2025-08-31 13:25:39+00:00,This is a sample tweet about Indian stock market #intraday,151,2779,273,,#nifty50,58,3203
user_24,2025-08-31 13:25:25+00:00,This is a sample tweet about Indian stock market #nifty50,195,2131,126,,"#intraday, #sensex, #banknifty",57,2452
user_289,2025-08-31 13:24:49+00:00,This is a sample tweet about Indian stock market #banknifty,192,918,415,"user_164, user_322, user_80",#banknifty,59,1525
user_181,2025-08-31 13:23:33+00:00,This is a sample tweet about Indian stock market #sensex,618,2812,81,,"#sensex, #banknifty",56,3511
user_179,2025-08-31 13:22:49+00:00,This is a sample tweet about Indian stock market #sensex,170,108,254,user_292,#intraday,56,532
user_46,2025-08-31 13:22:01+00:00,This is a sample tweet about Indian stock market #nifty50,982,1809,64,"user_220, user_83",#sensex,57,2855
user_467,2025-08-31 13:21:25+00:00,This is a sample tweet about Indian stock market #sensex,808,434,461,"user_193, user_125",#nifty50,56,1703
user_287,2025-08-31 13:21:23+00:00,This is a sample tweet about Indian stock market #sensex,183,2953,383,user_446,"#intraday, #banknifty",56,3519
user_383,2025-08-31 13:20:30+00:00,This is a sample tweet about Indian stock market #nifty50,724,2048,193,user_56,"#nifty50, #intraday, #sensex",57,2965
user_472,2025-08-31 13:20:05+00:00,This is a sample tweet about Indian stock market #intraday,956,2473,258,"user_160, user_436, user_84","#sensex, #nifty50, #banknifty",58,3687
user_186,2025-08-31 13:19:35+00:00,This is a sample tweet about Indian stock market #intraday,793,2316,202,,"#sensex, #intraday",58,3311
user_392,2025-08-31 13:17:14+00:00,This is a sample tweet about Indian stock market #intraday,334,2564,65,user_381,"#intraday, #sensex, #nifty50",58,2963
user_55,2025-08-31 13:16:20+00:00,This is a sample tweet about Indian stock market #intraday,776,884,497,"user_489, user_353, user_305","#intraday, #sensex, #banknifty",58,2157
user_248,2025-08-31 13:16:04+00:00,This is a sample tweet about Indian stock market #intraday,41,2505,110,,"#sensex, #intraday",58,2656
user_413,2025-08-31 13:15:41+00:00,This is a sample tweet about Indian stock market #nifty50,863,2776,173,"user_153, user_239, user_123",#nifty50,57,3812
user_72,2025-08-31 13:15:28+00:00,This is a sample tweet about Indian stock market #banknifty,73,2256,219,"user_233, user_217, user_375",#banknifty,59,2548
user_190,2025-08-31 13:14:27+00:00,This is a sample tweet about Indian stock market #sensex,381,647,59,,"#intraday, #nifty50",56,1087
user_467,2025-08-31 13:12:45+00:00,This is a sample tweet about Indian stock market #intraday,901,76,380,"user_152, user_68, user_496",#intraday,58,1357
user_235,2025-08-31 13:12:00+00:00,This is a sample tweet about Indian stock market #nifty50,693,1976,60,,"#banknifty, #nifty50",57,2729
user_320,2025-08-31 13:09:42+00:00,This is a sample tweet about Indian stock market #sensex,471,327,249,user_205,#sensex,56,1047
user_151,2025-08-31 13:06:39+00:00,This is a sample tweet about Indian stock market #banknifty,368,566,216,,#banknifty,59,1150
user_464,2025-08-31 13:05:24+00:00,This is a sample tweet about Indian stock market #sensex,497,13,328,"user_191, user_9","#intraday, #banknifty, #sensex",56,838
user_17,2025-08-31 13:03:31+00:00,This is a sample tweet about Indian stock market #nifty50,235,2934,311,user_467,"#intraday, #nifty50",57,3480
user_421,2025-08-31 13:03:13+00:00,This is a sample tweet about Indian stock market #banknifty,410,1403,75,,"#sensex, #banknifty",59,1888
user_225,2025-08-31 13:02:08+00:00,This is a sample tweet about Indian stock market #intraday,458,2897,131,,#nifty50,58,3486
user_273,2025-08-31 13:00:53+00:00,This is a sample tweet about Indian stock market #nifty50,343,2304,68,"user_176, user_181, user_497","#banknifty, #sensex, #nifty50",57,2715
user_225,2025-08-31 13:00:41+00:00,This is a sample tweet about Indian stock market #nifty50,519,1924,325,"user_451, user_196",#nifty50,57,2768
user_446,2025-08-31 13:00:32+00:00,This is a sample tweet about Indian stock market #intraday,89,1453,428,"user_324, user_250, user_114","#banknifty, #intraday, #nifty50",58,1970
user_264,2025-08-31 12:59:56+00:00,This is a sample tweet about Indian stock market #banknifty,870,98,95,"user_473, user_133, user_135","#banknifty, #intraday",59,1063
user_305,2025-08-31 12:59:24+00:00,This is a sample tweet about Indian stock market #nifty50,721,324,36,,"#nifty50, #intraday",57,1081
user_234,2025-08-31 12:58:47+00:00,This is a sample tweet about Indian stock market #nifty50,834,12,454,"user_242, user_207, user_493",#sensex,57,1300
user_422,2025-08-31 12:58:09+00:00,This is a sample tweet about Indian stock market #intraday,657,1918,248,,"#intraday, #sensex, #banknifty",58,2823
user_73,2025-08-31 12:57:47+00:00,This is a sample tweet about Indian stock market #nifty50,401,2302,152,,"#nifty50, #banknifty",57,2855
user_21,2025-08-31 12:57:16+00:00,This is a sample tweet about Indian stock market #banknifty,792,1728,484,"user_320, user_122","#nifty50, #banknifty",59,3004
user_261,2025-08-31 12:56:59+00:00,This is a sample tweet about Indian stock market #nifty50,750,1894,124,,"#sensex, #intraday, #banknifty",57,2768
user_474,2025-08-31 12:56:51+00:00,This is a sample tweet about Indian stock market #banknifty,603,530,346,user_483,"#nifty50, #banknifty",59,1479
